Meet Name,Event,start_date,Result,Place,PR
2023 Big Sky Indoor Track & Field Championships,800,2023-02-24,01:57.7,22nd (P),0
Bobcat Performance,800,2023-02-10,01:57.4,4th (F),0
2023 WSU Open,800,2023-02-03,01:56.2,17th (F),0
2023 Lauren McCluskey Memorial,800,2023-01-20,01:58.3,12th (F),0
2023 Spokane Indoor Challenge,800,2023-01-13,01:55.8,6th (F),0
NCAA Division I Mountain Region Cross Country Ch.,10k,2022-11-11,30:31.9,83rd,1
2022 Big Sky Cross Country Championships,8k,2022-10-28,25:34.7,48th,0
LC State Invite,8k,2022-10-08,25:15.0,14th,1
Montana Open,4.97M,2022-09-30,24:44.5,4th,1
MSU Cross Country Classic,5M,2022-09-17,26:40.0,31st,0
MSU Bobcat Twilight,5k,2022-09-02,16:33.0,14th,0
Big Sky Conference Outdoor Track and Field Champs,800,2022-05-13,01:55.7,20th (P),0
Tom Gage Classic,800,2022-05-07,01:54.5,10th (F),0
2022 Idaho State Bengal Invitational,800,2022-04-30,01:54.8,10th (F),0
Whitworth Twilight Meet,800,2022-04-14,01:56.9,3rd (F),0
Cat/Griz Dual,800,2022-04-09,01:59.4,2nd,0
Al Manuel Invitational,800,2022-03-26,01:54.3,4th (F),1
Big Sky Preview,800,2022-02-11,01:58.9,7th (F),0
Idaho Team Challenge,800,2022-01-29,01:57.5,7th (F),0
Bobcat Performance,800,2022-01-21,01:58.8,5th (F),0
Cougar Classic Invitational,800,2022-01-14,01:59.9,12th (F),0
Big Sky Conference Cross Country Championships,8k,2021-10-29,26:50.5,74th,0
2021 Highlander Invitational,8k,2021-10-16,25:16.3,70th,1
The Montana Open,4.35M,2021-09-24,21:33.8,9th,0
MSU Bozeman Classic,5M,2021-09-18,26:21.6,28th,0
Clash of the Inland Northwest,6k,2021-09-03,19:42.4,39th,1
Big Sky Outdoor Track & Field Championships,800,2021-05-14,01:54.3,14th (P),1
Tom Gage Classic,800,2021-05-05,01:54.8,4th (F),1
Griz/Cat Dual,800,2021-04-24,01:55.0,6th (F),0
Bobcat Qualifier,800,2021-04-10,02:01.4,3rd (F),0
Bobcat Qualifier,1500,2021-04-10,04:11.4,9th (F),0
2021 Whitworth H.I.R. Invite,1500,2021-04-02,04:01.7,6th (F),0
2021 Al Manuel Invitational,1500,2021-03-26,04:02.3,5th (F),1
2021 Big Sky Conference Winter XC Champs,8k,2021-02-27,26:23.0,49th,0
Idaho Orchards Invitational,8k,2021-02-06,25:50.6,11th,0
Big Sky Indoor Track & Field Championships,3000,2021-02-28,08:49.4,27th (F),0
2020 Big Sky Tuner,Mile,2020-02-21,04:31.6,12th (F),0
2020 Idaho Team Challenge,3000,2020-02-07,08:31.8,4th (F),1
MSU Dual Meet Invitational,800,2020-01-24,02:00.7,5th (F),0
MSU Dual Meet Invitational,3000,2020-01-24,09:12.7,5th (F),0
2020 Stacy Dragila Open,Mile,2020-01-17,04:34.0,10th (F),0
2020 Stacy Dragila Open,3000,2020-01-17,08:58.8,2nd (F),1
NCAA Division I Mountain Region Cross Country Champs,10k,2019-11-15,33:50.0,107th,0
2019 Big Sky Cross Country Championship,8k,2019-11-02,29:37.8,62nd,0
Santa Clara Bronco Invitational,8k,2019-10-19,25:33.7,100th,1
University of Montana Cross Country Invitational,4.97M,2019-10-04,26:03.0,5th,0
Montana State Cross Country Classic,5M,2019-09-21,27:01.8,40th,0
Clash of the Inland Northwest,5.75k,2019-08-31,18:19.2,16th,0
