,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
0,2,Ez Run,6530.2,1801,1954,71.4,Run,Run,0.0,8760126713,2023-03-22T18:47:17Z,2023-03-22T12:47:17Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,8,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.8498994410038, -113.98816944099963]","[46.8498164601624, -113.98788303136826]",3.626,4.52,79.3,True,130.0,168.0,False,True,1046.3,977.4,9401613944.0,9401613944,garmin_ping_265582956909,False,0,0,False,10.0,56603883,1,a8760126713,gd}|Gt{vvT?r@DlAAhC@RB|BCvD?jB@TBH?HChA@LBDRDXd@PDhDGZGXYTI|CAZBXJp@CPBJJJNX`ATRPDbAGZa@TKjASrAEX?JDXh@VRTHd@FVHh@?NJt@@h@HPCl@SZSZOLNJBHMl@oBPc@zAaEt@uAdAiBz@gA\c@pAmA^]lA{@|Ay@ZOtA{@^]XOjBwAl@YfCcBdCqA~CuBfAg@lAw@~@s@rAw@RUb@q@Pc@Ny@^gAz@wCX{@z@}Cr@_C`@aBAN[tAk@tBS`@Gr@_BxFe@zA]`BWp@MTm@p@iAn@uAbAs@Zq@h@a@NwBrAWTuBfAwBxAy@b@mChBYLa@\cB~@e@\QHo@RYNwAhAm@j@cAfAgAtA{ApCiAdCs@zBm@vBW|AQj@KPcAfAGB[B{GMsABw@AcBDk@HqA@eFIgBJgBDSCUMSIi@Gm@?KEKY?i@Gy@UaAE_BAsFCgCBuGDsBEoC@i@,2
1,2,Afternoon Run,9666.8,3065,5110,60.4,Run,Run,,8754986960,2023-03-21T19:03:24Z,2023-03-21T13:03:24Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,3,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84720021672547, -113.99693188257515]","[46.84639069251716, -113.99687102995813]",3.154,8.354,79.1,True,135.4,168.0,False,True,985.1,972.8,9396222412.0,9396222412,garmin_ping_265446992520,False,0,0,False,17.0,56603883,1,a8754986960,{k||GfaxvTj@@hAEtAH|@EnACZ@|AEhAB^ARE|@Dn@L\XTZPj@XrAFf@Lf@V~A`AfEVz@v@nD`@~A?BKMi@mBS_AYaBg@{BGOU{@S_AWaBGWGo@_@gBIU[_@YIMA]?u@E]BsA?s@D}ABgACaBBc@Ek@?eB@s@Fq@@uACs@@kDE[BGGG_@_@YGICICD@@?DCD@BBCACFDHERCnAkEB?@FQFQPGJKZAN@\FZDHNLVDxCE^CRKHKJ[BO?_@E[MUSKu@AsCNMDUPGJG^@`@BNFLHHVJ|@@jCEPEN]BS@m@Kg@EIOMKCYAa@FcAAgAJOJU^CNAb@Hf@JPJFPDBFSIKISa@K]AUJo@P[TMRD@FAE?BWHSRMZC`@D^DLPRTJ^@fDMPKNYBO@a@G_@EKGKUMa@A{CHWJQRK\APB^BNPXTNJ@`CE~@EXQFMJk@?g@GWMOWMUCW@m@AYBqA?UJOPGPI^@THd@JTJJHBfEETEJML]D]?i@GWIMOK]IiDFMBMHY^EPCd@F^LZPNZBjAETETAX?JBNCPKPWHe@?a@EQOWSMKAa@?gCJSDKBQRIXA^B\DLPRRJT?`EOXg@Du@Ge@QUc@M{AHo@CGBS@GAG@UPIJELE`@@d@HZHHVJT@~CETGPSL_@Ba@G]EMOQKEUEq@?wCFQRM`@ATBf@FTVXXHd@Cz@Ap@D\EXGPMHSHa@?q@Q]OMGEQCyAFIAU?EDMBMC[?MDSPIJK^?`@J`@RXJDLBX@jCE^EPG?HINg@VI?CGTUFAB@H?HCR_@Jg@Eg@Kc@UQKCiDF_@CSDAA@E?@BAFGFAN@CCK@MJK@EDCFAVEJGp@Nh@JN\TBNAKw@|@bEHt@GbEBVEr@Ab@IZ@VBvB@t@Dz@At@BfDON@JDXj@DN@R@z@BfA@xBBv@Ad@?xADlB?r@Ex@F~AIdE?\IdDBnDHhBGnHDbA@bFCPKLs@AwBMiBCa@@e@Bq@EmCBqAGgAAuA?cABK?IIKWE}@AkBGqCBaBEcD@{BG_C@e@EeDBw@@eCEsBA_C,2
2,2,Lunch Run,5049.4,2175,4240,6.3,Run,Run,,8749314572,2023-03-20T17:58:39Z,2023-03-20T11:58:39Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,5,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.849878234788775, -113.98844118230045]","[46.84726576320827, -113.99705585092306]",2.322,9.128,68.3,True,122.1,163.0,False,True,980.8,977.3,9390302725.0,9390302725,garmin_ping_265299185043,False,0,0,False,7.0,56603883,1,a8749314572,wc}|Gd}vvTFtACxC@hBAj@?dGEtA@|ALjDHh@Fl@Nf@BDJB|@C~@SRHTL^HFGh@u@JEd@D?D@AAFl@InB?\EJGFAJMPc@@QEe@GWGK]][GLD?AJ@VFPRJTBR?ZA?Ea@K]GIWMYAoD@a@DCA?ENKPGVBrACx@BZ?L?JFXXLb@?\ADC]M[IKWMi@AuDFCCCIPKNEx@E\?N@ZAP@@FJCDBR@PFJHFJPn@@HCHA?EWO_@GKMG_@AyC@k@BKC?EJIj@GdB@`@Ap@DJBNJPZFZ?RCAEe@GOKK_@MoAAiBDe@DGE@E@Cd@OL@j@An@DHC\?n@BVPZf@DP?RC@CC?QK]QYMEMCq@?cDLIG@GHEZGVAHEPAJ@NFACAB@@B?ECL@TDXC^@JCPBXXF@FHHd@?ZGIQg@UWKEm@CeCJq@?EE?ELKSV@JE\Ah@@VBJP\ZTAHo@DCJEb@CHIBq@Dk@@KA[SMCsA?MECGSm@GWGi@GkBIy@@eAEeD?}DFoAAsCBc@@u@G}AAwCBiBF_@@WGyDF}BFh@@dBFrB?rAEl@GxEFvACr@@v@A|@BhBCb@FrGC|DDn@DbBH|@H`@HT,2
3,2,Ez Shakeout ,4888.1,1217,1217,16.3,Run,Run,0.0,8743496692,2023-03-19T19:20:11Z,2023-03-19T13:20:11Z,(GMT-07:00) America/Denver,-21600.0,,,United States,1,5,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84987982735038, -113.98818327113986]","[46.849782429635525, -113.98794648237526]",4.017,5.304,80.6,True,142.0,174.0,False,True,990.4,977.6,9384175786.0,9384175786,garmin_ping_265124145183,False,1,0,False,10.0,56603883,1,a8743496692,kz}|G|avvTk@D]G{@A[Fs@EyAF_A@aCG_AD[CkBBuBKw@@g@MKGIMCSC_@@}@I_I@cCK[QiBMa@Se@m@aAg@k@{A}@[MQQ_@Og@YkA[c@Eu@UYC{@YsA]{@?U@MDKLINEd@ININMFWDU@m@CUIUO[WSIaBiAu@c@oB{Ae@OQ?e@RWFYN[Za@r@Md@UpACz@QrBAhB@pED`@DDD@dAEx@Ir@BLBTHb@Fb@EnAA`@BdA?dACdBDx@E`BSjAHTAl@IR?LB`@ZTb@P~@L|@EPGDG@a@Ac@BKDEFAR@vBAvACPEDE?KKM]U_@K][wAGy@BUFENEz@CJGBIBUCsA@o@ESKIOBUX[p@QbAC^B\LFV@xCOPDNJR~@Bb@L|@BxBBFFBd@?jAGh@BZA`@@dAOjADbAL`D@LB\LL?VJZ?FClCBnBCr@BlCCr@FxBMd@AT@,2
4,2,Afternoon Run,7242.1,1890,1890,0.0,Run,Run,,8743519976,2023-03-19T19:16:36Z,2023-03-19T13:16:36Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,7,0,1,0,False,False,True,False,everyone,False,g6848836,[],[],3.832,0.0,,False,,,False,False,,,,,,False,0,0,False,,56603883,1,a8743519976,,2
5,2,Lunch Run,964.1,289,374,5.2,Run,Run,,8743493915,2023-03-18T18:39:46Z,2023-03-18T12:39:46Z,(GMT-07:00) America/Denver,-21600.0,,,United States,1,3,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84603538364172, -113.99681143462658]","[46.846149964258075, -113.99687907658517]",3.336,8.072,72.7,True,137.8,158.0,False,True,979.0,975.7,9384173059.0,9384173059,garmin_ping_265124073599,False,0,0,False,1.0,56603883,1,a8743493915,qx||GrywvTWNGLM\Ab@@NDLPXHDVDhDCV@HDOEPGHGFMFQFg@ASMa@IMWMe@CyCBQBYN@LCAADGAAEDE@BEFAHCh@,2
6,2,Lunch Run,2247.9,607,607,17.1,Run,Run,,8743492883,2023-03-18T18:01:27Z,2023-03-18T12:01:27Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,3,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84724438935518, -113.99717629887164]","[46.847262410447, -113.99695325642824]",3.703,4.286,80.0,True,166.3,185.0,False,True,985.1,975.4,9384171956.0,9384171956,garmin_ping_265124046731,False,0,0,False,17.0,56603883,1,a8743492883,kl||GdaxvTJ@d@?^Dd@A|BDl@Cj@@lAE`@@h@El@@\CdAA~@HRDRLZZVj@f@|BNf@RlA~@xDTt@R`APj@t@tC~@hF}@uCs@eDoAyEYuA_@wAU{AM[Ku@c@gBIWU_@QMk@M{A@mACe@BuAByDIiBDc@Es@B,2
7,2,Morning Run,4833.4,1380,1481,3.3,Run,Run,,8730431470,2023-03-17T16:47:25Z,2023-03-17T10:47:25Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,7,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.862842524424195, -113.98268231190741]","[46.849786788225174, -113.98843347094953]",3.502,6.136,77.1,True,153.7,169.0,False,True,984.0,980.5,9370373459.0,9370373459,garmin_ping_264801433126,False,0,0,False,24.0,56603883,1,a8730431470,qv_}GlruvTTX|AjAr@DXF\?TD\h@RtAJ^fAhB\^LFr@D|BA`ABVI`@?PDTA^Dr@ERBhBOXB^?XHp@BXAR@j@?hAH`ACfBD~@CxB@z@Jf@Bj@HXEpAEz@D,2
8,2,Morning Run,1809.8,480,517,3.2,Run,Run,,8730427525,2023-03-17T15:54:36Z,2023-03-17T09:54:36Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,1,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.849850406870246, -113.98772268556058]","[46.863356502726674, -113.98260922171175]",3.77,5.194,79.3,True,155.4,173.0,False,True,984.0,980.8,9370369406.0,9370369406,garmin_ping_264801350173,False,0,0,False,8.0,56603883,1,a8730427525,kz}|G|avvT{@@UC_@?q@FgAE{ABs@Gu@CCEcAAg@B}AGk@@}BMgBAMESQmAL[@]FmAD[M[COCg@DaD?c@Fg@Ig@[q@kAe@oAG_@Gs@MYUQa@Io@?c@DMCUWWe@KGKYc@[ISCUBMBaA,2
9,2,Tempo,6437.6,1435,1732,32.6,Run,Run,0.0,8726253377,2023-03-16T20:18:19Z,2023-03-16T14:18:19Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,8,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.8498217407614, -113.9881363324821]","[46.849830877035856, -113.98801077157259]",4.486,6.306,81.4,True,174.5,196.0,False,True,985.5,974.1,9365969364.0,9365969364,garmin_ping_264679044822,False,0,0,False,55.0,56603883,1,a8726253377,_d}|Gr{vvT@jAFjAE|H?v@Aj@DbCAtCFjCDjDBZJHL@j@Gr@?VB^F|IFd@Cn@B`@ClBDtBMfADlACPB~@@`GQrALLDVRPZXt@VjAHn@\rAfAbFr@rCxAzGbBlHb@|ArA~Df@hBtBnGXjAb@hATb@^nALp@^pAnAvD\zAb@jAlA`E`AlCFZh@dBDFJJl@?ZIGFe@P[AWKMSo@qBQ{@uBeGYeAc@iAi@mBa@gAMm@kCeHUy@AKq@_CiB_GOk@cA}Cu@kCi@cCe@gCgA}EYoAo@sBo@qC]kB]kAK}@ScAOe@Ye@QQe@Mm@@QIcADeEBwAHwBAyBHSA_B@QCe@?{CHeE@u@IQE]Sw@Ae@EUKMMGSE{@?mBBaAGeAEsC@mCAyB@cBAiB@mAGoB@aA,2
