,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
0,2,Afternoon Run,1590.8,298,298,9.1,Run,Run,,3377430939,2020-02-18T23:09:25Z,2020-02-18T16:09:25Z,(GMT-07:00) America/Denver,-25200.0,,,,1,0,0,4,0,False,False,False,False,everyone,False,,"[46.845994, -113.996786]","[46.845988, -113.996736]",5.338,6.1,85.7,False,False,False,979.1,975.8,3608828641,3608828641,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430939,mr||G|~wvTPEPOLYD]?]EYMUQMIAq@AmCBQFOLMTEX?ZFVJTPNFBl@@rCGPGNQHWBY?[EWKSQMICQ?sDLQHGFKTEX?XFXR\PHP@rDGPGNQJg@?[EYIUMO[GmDFI@SFONKb@?f@Lb@VVZDfDEPCNMLSD[@YEYIWMOICSC}B@y@DG@QLKRGXAZDZLTFFPJR@tAExA?,2
1,2,Afternoon Run,3235.4,895,895,9.4,Run,Run,,3377430985,2020-02-18T22:37:24Z,2020-02-18T15:37:24Z,(GMT-07:00) America/Denver,-25200.0,,,,2,0,0,6,0,False,False,False,False,everyone,False,,"[46.863918, -113.984532]","[46.847063, -113.996792]",3.615,5.0,79.5,False,False,False,983.5,975.3,3608828634,3608828634,stripped_health_data_56603883_1588289661.gpx,False,1,0,False,56603883,1,a3377430985,mb`}GjruvT?KFC?ODG@GLEVFHCJ@FFFCLBBCLAxA@l@EjBD^KZCp@Bt@A^BXA^JJIp@@`@GPGl@Cb@TTb@\dAFXD|@HRV@x@Ch@@b@ALRDTA^HJPH^BXHN@f@Nn@BDLBTCl@?z@HJVEXHb@Bh@AxABt@DbCCx@Hf@ErABnCErCBd@Db@Ex@D|A@^E|@Dr@ChBFZA`@@lFKt@DHJ^x@H`ACnFG`DBlAGp@FxFFn@ChAFtBEh@@r@Ap@?fBDx@?h@ArAEbADbBBRAdEDRFNRVHDJBh@G`@ATFJNHB|ACFCDIA_@DKPSFUAMUYIi@Dc@DQHMNMPEjCB~@BPHJHV`@FZAf@Qj@ILIF[Da@?K@w@@oACYI,2
2,2,Lunch Run,5146.0,1750,1894,96.9,Run,Run,,3377431095,2020-02-17T18:39:26Z,2020-02-17T11:39:26Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.84983, -113.988197]","[46.849988, -113.988203]",2.941,4.3,77.2,False,False,False,1072.8,975.8,3608828724,3608828724,stripped_health_data_56603883_1588289662.gpx,False,0,0,False,56603883,1,a3377431095,gj}|GlavvTJMRClBC`@@VLTx@BpAGnBA|@@pDCfA@d@Ed@Av@@hDLjBAlAAd@@j@AvCBrBCjD?tAFHJBJFDPLLRAp@A`C@HCXa@BAXHPEl@@bAChCJPLVn@HFNVNHNDz@CDAT]VMJAVBz@G\@z@EVHr@h@lAXd@CRXPDX@ZCPBVA|@Yb@WPJHBj@oB^y@XcA`@iAb@aAbBwCvBqClByA^IZURYl@W`BaAp@g@TU^Sj@i@d@Yp@e@|@e@vBoA\WjAm@TONSLEZSPEb@U^YFKDSCi@Bo@Cu@@mB@o@Cs@B[Ec@A?CHE@_@A{@a@g@QgBOc@M]Qu@O_@BuA^cAb@QJ]\_@NuDBuCEoAIiCJaAAuABq@FaA?o@GyCC]Ce@?}@FiABk@DYEq@?ECKAo@?KBo@EaB?i@@M@o@AUBwABm@HQFY?w@FQAm@BYCk@?cAFq@E}@?o@Sc@?YDy@AWDOD,2
3,2,Lunch Run,10841.7,2477,2477,28.5,Run,Run,,3377431113,2020-02-15T19:08:07Z,2020-02-15T12:08:07Z,(GMT-07:00) America/Denver,-25200.0,,,,13,0,0,1,0,False,False,False,False,everyone,False,,"[46.850093, -113.988216]","[46.849859, -113.986856]",4.377,7.0,80.7,False,False,False,989.1,969.3,3608828712,3608828712,stripped_health_data_56603883_1588289661.gpx,False,4,0,False,56603883,1,a3377431113,wy}|G~`vvTy@DmCQgCC}EBcB?S@eBCWAME]EeA?c@CYEGEGIGYEi@Ko@KcBSs@IaB@c@Hi@HkALm@H_CI]KKIa@MU[Yg@WSY]We@UgB]kA[g@Ia@QcBa@{Ag@y@@a@Bs@r@OFYDaAGOG]YOGO?_@Bk@UWWmBqA_@g@SKa@Ig@CSDw@d@k@n@Ub@WlACR@RCb@M`A?TC^?fABp@@~@FrAKdA]RyA?o@Dq@?i@KEGOCCDEPMfASdACtADbCE|CLlG@fFTjFAZEZAXBlCC|@?|@FnDKtCEJGbBWlCWzAW~@kA`DKPOPc@vAOvAQbAS|AGVQjA[bA_@|@KJ_@v@uAhBu@v@w@fAw@x@Ud@U~@Wl@Mr@e@dA?HDN?XGXAXEJGtAI`@MxDe@b@MZDtCAH?`@LlCJz@Fz@EzAFbAC`BD|B?n@EVC|ABt@CR@VBt@IxBB~CEjA@TER]d@CHDHDC?c@Jo@?KAoBKcC?{@JsAKkCDoEAsDAoAGi@?}AIi@EeAMwAAc@?cADoBJ]^e@DOLkBPyAJwARw@TUR[CWDGHeATa@f@eBZi@fAeA`@q@x@aAb@m@l@cAXu@bA{DjAmFHm@Pg@D[d@kANs@x@cCLk@Lu@R}ANgCHaGGeB?yADy@CsBB{BSyDCcCBmAA_@CSIOKCa@?s@EgABIDLZH^Dr@HtDBzCN|C?l@E^Q^YF}@MMI@IPg@Jo@Pi@Ru@^{B?_@YsFM_A@SKg@@a@EMGOOIo@Ik@Ce@Qq@MEEBqAd@cG?s@B_@TeBXwDFYHIN_@PM\FdBd@`@Pj@Nh@L`APRJd@Zb@NxAHhACFIRwA?a@GcDBiAVaDPaAZo@fAuATONCb@EN?j@Jh@PXNnA|@l@\XTzAbAVTZL^Af@BXAJIFMHm@R]LCnA?lHlBp@Vp@R`A^dB|@LJ`@\\d@f@`AH\?|AI`BDnCDhAHr@Dz@@jBBZ@^DJRNZBhBGbBBfAAfBDv@AzABbBCjETlAEdB?zAGt@?nAEb@@jAGNB,2
4,2,Afternoon Run,188.7,29,29,0.0,Run,Run,,3377430931,2020-02-14T20:14:36Z,2020-02-14T13:14:36Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.846886, -113.995921]","[46.846079, -113.996771]",6.507,7.3,101.5,False,False,False,977.5,975.8,3608828638,3608828638,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430931,_x||GpywvTSFSRELIb@@PFb@PZHHVBzCC,2
5,2,Afternoon Run,190.8,30,30,0.0,Run,Run,,3377430923,2020-02-14T20:11:13Z,2020-02-14T13:11:13Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.847017, -113.995896]","[46.846147, -113.996737]",6.36,7.0,100.6,False,False,False,977.4,975.6,3608828625,3608828625,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430923,yx||GjywvTYPIHMXCN?PH`@LZHHJDVB|CA,2
6,2,Afternoon Run,204.4,31,31,0.0,Run,Run,,3377430955,2020-02-14T20:08:18Z,2020-02-14T13:08:18Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.846987, -113.9959]","[46.846114, -113.99673]",6.594,8.4,99.3,False,False,False,977.5,975.4,3608828689,3608828689,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430955,sx||GjywvTa@PQVCv@DNCNDTTR^Hp@ItBE,2
7,2,Afternoon Run,213.5,31,31,0.0,Run,Run,,3377430911,2020-02-14T20:05:47Z,2020-02-14T13:05:47Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.847007, -113.995908]","[46.846139, -113.996774]",6.887,7.9,58.3,False,False,False,977.4,975.3,3608828610,3608828610,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430911,wx||GlywvTQBEH]N?NKb@Cb@JL@JJPJBJFVBjAC|A?,2
8,2,Afternoon Run,186.4,31,31,0.0,Run,Run,,3377430932,2020-02-14T20:03:29Z,2020-02-14T13:03:29Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.84702, -113.995906]","[46.846162, -113.996762]",6.013,6.9,60.5,False,False,False,977.4,975.6,3608828656,3608828656,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430932,{x||GlywvTQLQTI\ANB`@L\NP^FxC?,2
9,2,Lunch Run,8104.9,2231,2320,233.2,Run,Run,,3377431141,2020-02-14T19:07:47Z,2020-02-14T12:07:47Z,(GMT-07:00) America/Denver,-25200.0,,,,4,0,0,1,0,False,False,False,False,everyone,False,,"[46.84801, -113.997012]","[46.848362, -113.997113]",3.633,5.4,80.4,False,False,False,1210.2,975.2,3608828739,3608828739,stripped_health_data_56603883_1588289662.gpx,False,3,0,False,56603883,1,a3377431141,a_}|Gj`xvTN?d@PdABhBGJBtA?dABh@CjC@dAAZE~@CtFHrAKRBbAGpAALC@CAk@Bo@Z_BRy@Xs@ZiAF_@Pe@R]l@aBVa@^_Af@}@l@{@~BgC~@}@b@]j@SzA{@VEnAk@d@_@j@YnB{Al@[~AeAtBmAl@Y\[d@Ux@k@v@]f@_@z@i@v@i@x@a@|@q@\i@Vq@x@kDJWj@oB\wARm@h@wB~@kCTa@HWzAkGTuA~@eDb@kBXu@r@qDLw@JSJAj@PVRB@BCDDAKMU?I@AB?Z\TPANQ`@Kj@CRId@?n@FD@ALYPUDKJOI\B@JE@BGn@@JLf@?LE^a@rACLATFRHNFDNEVOD@Er@M\ARONDHTLV@b@_@ZOPQf@u@PEVWHANDRETUNIPQLa@FEBABDIn@@RF?`@UJIPWJIN[\_@d@[v@qAD??PY~@@NY|@kAfCIN@FNAZQh@SNSVOPYVU^u@t@q@F?DHCFYn@Sv@O~@LEFkAP{@Rc@AGCAE@i@f@i@z@y@p@a@Xy@`@EFGAPg@l@cATq@NqATwAw@pAi@j@a@h@SPU\MHMRKBEACG@}@CQIAEBYn@e@j@E@SGEBOPWP]n@a@j@MHi@l@SLI?IEEK?EDEBS?e@FW?ME@U^MMCM@QLw@@SASDQ@QCa@GSCUDqAIDCKFg@a@h@I\KJEu@?UEy@F_@R[@SSI[a@CDDPAPO?c@[GP@HE\[hAQpAYhAG^IZQZa@bAc@p@YdBe@pAGb@IREV}@nCKv@Sn@QbA_@~A]~@S~@a@x@q@pBK\Y~AOj@[|@Sb@k@t@WPeAj@}BzA{Ax@w@f@mCzAkCdB_Ap@q@\eAz@m@Ze@Ze@TcAt@{@ZSNiAf@o@b@{AtAy@~@iAvAwAbC{@hBmA|DOz@_@nAG`@En@AzAAJGFQFmAAqADsBGaCCu@BcCCuCFe@Ay@BeAA_@BeEFiAEa@O[AYKGB,2
